fold_id,held_out_episode_id,frozen_train_count,frozen_test_count,n_train,n_test,lr_test_count,lstm_test_count,test_population_equal,lr_manifest,lstm_manifest
0,02-03-2018_Botnet_0,2687,20,2687,20,20,20,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
1,02-03-2018_Botnet_1,2692,24,2692,24,24,24,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
2,02-03-2018_Botnet_2,2673,12,2673,12,12,12,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
3,02-03-2018_Botnet_3,2672,6,2672,6,6,6,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
4,02-03-2018_Botnet_4,2668,6,2668,6,6,6,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
5,02-03-2018_Botnet_5,2650,9,2650,9,9,9,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
6,02-03-2018_Botnet_6,2645,9,2645,9,9,9,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
7,02-03-2018_Botnet_7,2641,8,2641,8,8,8,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
8,02-03-2018_Botnet_8,2633,14,2633,14,14,14,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
9,02-03-2018_Botnet_9,2637,10,2637,10,10,10,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
10,14-02-2018_SSH-Bruteforce_0,2704,12,2704,12,12,12,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
11,14-02-2018_SSH-Bruteforce_1,2700,9,2700,9,9,9,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
12,14-02-2018_SSH-Bruteforce_2,2684,20,2684,20,20,20,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
13,14-02-2018_SSH-Bruteforce_3,2687,6,2687,6,6,6,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
14,14-02-2018_SSH-Bruteforce_4,2675,16,2675,16,16,16,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
15,14-02-2018_SSH-Bruteforce_5,2658,24,2658,24,24,24,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
16,14-02-2018_SSH-Bruteforce_6,2587,66,2587,66,66,66,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
17,14-02-2018_SSH-Bruteforce_7,2696,12,2696,12,12,12,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
18,14-02-2018_SSH-Bruteforce_8,2702,14,2702,14,14,14,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
19,21-02-2018_DDOS-LOIC-UDP_0,2705,12,2705,12,12,12,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
20,21-02-2018_DDOS-LOIC-UDP_1,2706,6,2706,6,6,6,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
21,21-02-2018_DDOS-LOIC-UDP_10,2706,6,2706,6,6,6,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
22,21-02-2018_DDOS-LOIC-UDP_11,2706,6,2706,6,6,6,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
23,21-02-2018_DDOS-LOIC-UDP_12,2706,6,2706,6,6,6,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
24,21-02-2018_DDOS-LOIC-UDP_13,2706,6,2706,6,6,6,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
25,21-02-2018_DDOS-LOIC-UDP_14,2706,6,2706,6,6,6,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
26,21-02-2018_DDOS-LOIC-UDP_15,2706,6,2706,6,6,6,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
27,21-02-2018_DDOS-LOIC-UDP_16,2706,6,2706,6,6,6,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
28,21-02-2018_DDOS-LOIC-UDP_17,2706,6,2706,6,6,6,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
29,21-02-2018_DDOS-LOIC-UDP_2,2706,6,2706,6,6,6,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
30,21-02-2018_DDOS-LOIC-UDP_3,2706,7,2706,7,7,7,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
31,21-02-2018_DDOS-LOIC-UDP_4,2706,6,2706,6,6,6,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
32,21-02-2018_DDOS-LOIC-UDP_5,2706,6,2706,6,6,6,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
33,21-02-2018_DDOS-LOIC-UDP_6,2706,6,2706,6,6,6,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
34,21-02-2018_DDOS-LOIC-UDP_7,2706,6,2706,6,6,6,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
35,21-02-2018_DDOS-LOIC-UDP_8,2706,6,2706,6,6,6,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
36,21-02-2018_DDOS-LOIC-UDP_9,2706,6,2706,6,6,6,True,artifacts\lr_set_a_corrected\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
